 bedroom, carpet_area, balcony, park_count,bath, price_in_Lac
2,730,1,2,2,47.8
2,629,1,2,1,56.7
2,710,1,2,2,43.9
2,704,1,2,2,50
2,715,1,2,2,64
2,743,1,2,3,63
2,744,0,2,1,51
2,782,1,2,2,66
2,808,1,2,3,72
2,828,1,2,1,67
2,650,1,2,2,68
2,741,1,2,2,50.5
2,780,1,2,1,81
2,610,1,2,1,42.7
2,865,1,2,2,66
2,644,1,2,2,43
2,755,1,2,2,57
2,665,1,2,1,57
2,800,1,2,1,76
2,810,1,2,2,60
2,785,1,2,1,86
2,1085,1,2,2,90.5
2,742,1,2,2,57
2,725,2,2,2,60
2,751,1,2,2,68
2,823,1,2,1,78
2,867,1,2,1,108
2,750,1,2,1,62
2,640,1,2,1,60
2,732,1,2,2,61.9
2,736,1,2,2,54
2,864,1,2,2,94
2,708,1,2,1,69
2,588,1,2,2,33.5
2,700,1,2,1,56
2,743,1,2,1,61.8
2,637,1,2,1,37.9
2,994,1,2,2,105
2,668,1,2,2,44.6
2,680,1,2,1,44
2,786,1,2,2,60
2,667,1,2,1,59
2,773,1,2,1,70
2,621,1,2,2,49.4
2,680,1,2,3,49
2,870,1,2,2,96
2,833,1,2,2,55
2,639,1,2,2,90
2,750,1,2,3,49.6
2,810,1,2,2,83
2,733,1,2,2,69.9
2,706,1,2,2,58
2,620,1,2,1,52
2,780,1,2,2,70
2,637,1,2,1,45
2,575,1,2,2,50
2,695,1,2,2,47.5
2,740,1,2,2,60
2,830,1,2,2,72.5
2,829,1,2,2,68.8
2,810,1,2,1,74.1
2,600,1,2,2,65.5
2,930,0,2,2,80
2,632,1,2,1,59
2,750,0,2,2,54
2,620,0,2,2,42.5
2,725,0,2,2,87
2,625,1,2,2,50
2,726,1,2,1,49
2,732,1,2,1,75
2,748,0,2,1,66
2,780,1,2,2,75
2,782,1,2,3,60
2,770,1,2,1,52
2,750,1,2,3,69
2,650,1,2,2,55
2,794,1,2,2,66.7
2,783,1,2,2,69
2,740,1,2,2,55
2,750,2,2,1,59
2,615,1,2,1,52.3
2,645,1,2,1,62
2,707,1,2,2,38
2,770,1,2,1,58.1
2,742,1,2,1,70
2,810,1,2,2,66
2,732,0,2,1,81
2,725,1,2,2,55
2,732,1,2,2,71
2,675,0,2,2,44
2,698,1,2,1,46.6
2,660,1,2,1,37.3
2,823,1,2,4,76
2,789,1,2,1,49.5
2,750,1,2,3,79
2,930,1,2,2,52
2,740,1,2,1,59
2,656,1,2,2,47
2,707,1,2,2,59
2,823,1,2,2,78
2,690,25,2,2,56
2,752,1,2,2,70
2,730,1,2,2,72
2,724,1,2,3,53.5
2,696,1,2,3,34.8
2,730,1,2,2,58
2,830,1,2,2,66.3
2,945,0,3,2,92
2,700,1,2,1,32
2,850,1,2,2,60
2,950,1,2,2,79
2,788,1,2,1,50
2,677,1,2,2,36.9
2,561,1,2,1,63
2,800,1,2,2,79.7
2,680,1,2,2,51
2,950,1,2,1,104
2,660,0,2,2,42.9
2,680,0,2,3,44
2,692,1,2,2,50.6
2,656,0,2,2,59.3
2,71,0,2,2,50
2,784,1,2,2,64
2,794,0,2,2,48.8
2,885,0,2,2,69.8
2,656,1,2,2,38.8
2,730,1,2,2,61
2,750,1,2,2,72
2,691,1,2,2,50
2,550,0,2,2,38.8
2,824,1,2,2,67
2,710,0,2,2,67
2,630,1,1,2,34.9
2,624,0,2,2,38.2
2,621,0,2,2,48
2,679,1,2,2,0
2,750,0,2,2,50
2,705,1,2,2,52.5
2,761,0,2,2,88.2
2,1014,1,2,2,140
2,691,0,2,2,61.3
2,830,1,2,2,63.7
2,630,1,2,2,56.3
2,735,0,2,2,44
2,692,1,2,2,45.1
2,885,1,2,2,73
2,747,0,2,2,55.9
2,974,1,2,2,95.2
2,969,1,2,2,72
2,743,0,2,2,66.4
2,641,1,2,2,36
2,738,1,2,2,63.7
2,908,0,2,2,105
2,660,1,2,2,44.4
2,840,0,2,2,61.3
2,700,1,2,2,53.6
2,656,0,2,2,66.3
2,795,0,2,2,63.5
2,628,0,2,2,48
2,757,0,2,2,68.6
2,669,0,2,2,37
2,71,0,2,2,80
2,650,50,2,2,55.4
2,680,1,2,3,44.9
2,571,0,2,2,33.6
3,2308,3,3,3,175
3,809,1,2,2,90
3,890,0,3,1,155
3,1008,1,3,1,79
3,1275,1,3,1,92
3,950,1,3,1,110
3,900,1,3,2,65.3
3,1215,0,3,1,85
3,3900,0,3,3,411
3,1700,1,3,2,166
3,805,0,3,1,48.9
3,1256,0,3,1,105
3,2300,1,4,1,425
3,2800,1,4,1,146
3,1450,2,3,3,160
3,1300,1,3,2,100
3,1676,1,4,2,324
3,1175,1,3,3,120
3,990,1,3,2,105
3,2000,2,3,2,175
3,1000,1,3,1,78
3,1132,1,2,2,185
3,888,1,2,2,60
3,1150,2,3,2,90
3,1200,2,3,3,120
3,2300,3,3,4,290
3,1300,0,3,1,85
3,1300,1,3,1,110
3,1120,0,3,2,100
3,1322,1,3,2,149
3,1470,0,4,1,130
3,1180,0,3,2,105
3,1050,0,3,1,100
3,1050,0,3,1,125
3,1080,0,3,2,86
3,1016,0,2,2,118
3,1069,3,3,1,85
3,1650,0,3,3,180
3,1200,1,3,1,95
3,572,0,2,2,31
3,1195,0,3,2,118
3,1500,1,3,1,275
3,1840,0,5,2,211
3,972,0,2,1,83
3,1200,1,3,1,79
3,1150,1,3,3,74
3,1087,2,3,2,92
3,1350,2,3,1,325
3,1150,1,3,2,77
3,1450,0,3,3,158
3,1600,1,3,2,165
3,2245,1,5,1,134
3,1100,1,2,3,72
3,884,0,2,2,60
3,1000,2,3,3,168
3,1760,1,3,1,150
3,1070,3,3,2,125
3,2700,2,4,2,235
3,1150,2,3,3,99
3,1565,1,3,3,110
3,1723,2,3,2,198
3,1185,1,3,2,105
3,1385,1,3,1,155
3,1037,1,3,2,95
3,1300,3,3,2,105
3,1200,1,3,1,225
3,1500,1,3,3,140
3,1800,1,3,3,160
3,1585,1,3,3,130
3,1445,1,3,1,117
3,2650,1,3,2,375
3,969,0,2,1,95
3,1150,1,3,3,140
3,950,1,2,3,53
3,1000,1,2,3,90
3,1350,1,3,2,95
3,1350,1,4,2,200
3,1150,1,3,3,129
3,1050,1,3,2,58
3,952,0,3,3,78.4
3,1500,0,2,1,85
3,1010,1,3,3,77
3,960,1,3,2,73
3,1331,1,3,2,110
3,1355,1,4,2,120
3,2100,2,4,2,238
3,1500,1,3,3,74.5
3,1250,1,3,2,130
3,1200,1,3,2,170
3,1800,2,3,3,165
3,2100,0,3,3,180
3,1395,0,3,3,140
3,1230,1,3,3,100
3,1500,1,2,1,135
3,1917,2,3,3,155
3,950,1,2,1,65
3,1050,0,2,3,100
3,1462,1,3,2,98
3,1138,0,3,2,75
3,1470,1,3,2,125
3,1300,0,3,4,179
3,1251,1,3,4,135
3,1150,1,3,3,90
3,1250,0,2,1,106
3,1020,1,3,1,85
3,1196,1,3,2,110
3,1350,0,4,1,42
3,1044,1,3,1,96
3,1225,0,3,2,94
3,1250,1,3,3,115
3,857,1,3,2,81
3,992,1,2,2,85
3,1009,1,3,2,75
3,1132,1,3,2,180
3,1200,0,3,2,150
3,997,1,3,1,115
3,1275,1,3,3,105
3,1395,1,3,2,120
3,882,1,2,3,175
3,1550,2,3,2,200
3,1301,1,3,1,172
3,1197,2,3,1,110
3,1220,1,3,2,110
3,572,1,2,1,24
3,1730,1,4,2,175
3,951,0,2,1,70
3,1023,0,3,2,74
3,1400,0,2,3,180
3,1550,2,4,1,210
