location, bedroom, housetype, carpet_area, status, transatcion, furnishing, balcony, park_count,bath, ownership, facing, price_in_Lac
  Ashoka Nagar Kharadi,2,Flat,820,Possession by Jul 23,Resale,Unfurnished,12,2,2,NA,NA,72.9
  Undri,3,Flat,NA,Ready to Move,Resale,SemiFurnished,1,3,4,NA,North  East,75
  Pisoli,1,Flat,435,Ready to Move,Resale,SemiFurnished,1,1,1,Cooperative Society,East,23.8
  Moshi,2,Flat,850,Ready to Move,Resale,Unfurnished,0,2,2,NA,NA,36
  Hadapsar,2,Flat,800,Ready to Move,Resale,Furnished,1,2,1,Freehold,East,82.5
 Bhau Patil Road,1,Flat,555,Ready to Move,Resale,Unfurnished,0,1,NA,Cooperative Society,East,38
  Moshi,4,Flat,1300,Ready to Move,Resale,NA,0,3,3,NA,NA,105
  Moshi gaon Pimpri Chinchwad,2,Flat,690,Ready to Move,Resale,SemiFurnished,0,2,1,Freehold,East,56
  Loni Kalbhor,2,Flat,NA,Ready to Move,Resale,Unfurnished,3,2,NA,Cooperative Society,East,35
 Dhayari,1,Flat,380,Ready to Move,Resale,Unfurnished,0,1,NA,Freehold,North,24
  Dhayari Phata Road,2,Flat,NA,Ready to Move,Resale,Unfurnished,44,2,2,Cooperative Society,East,65
  Kondhwa,2,Flat,1300,Ready to Move,Resale,SemiFurnished,1,2,1,Freehold,East,100
 Ambegaon Pathar Vadgaon Budruk,4,House,NA,Ready to Move,Resale,SemiFurnished,1,3,NA,Freehold,South  East,115
  Dighi,2,Flat,NA,Ready to Move,Resale,Unfurnished,0,2,NA,NA,NA,51.5
  Loni Kalbhor,1,Flat,NA,Ready to Move,Resale,Unfurnished,0,2,1,Cooperative Society,East,26
  Hinjewadi Phase 2,2,Flat,608,Ready to Move,Resale,Unfurnished,0,2,1,Freehold,NA,65
Manchar,2,House,950,Ready to Move,Resale,Unfurnished,0,1,2,NA,NA,32
 Phursungi,2,Flat,NA,Ready to Move,Resale,SemiFurnished,1,2,1,Cooperative Society,East,45
   Pune,2,Flat,NA,Ready to Move,Resale,SemiFurnished,1,1,NA,NA,South West,50
  Laxman NagarBaner Baner,3,Flat,NA,Ready to Move,Resale,Furnished,0,3,1,NA,NA,320
  Phursungi,2,Flat,612,Ready to Move,Resale,Furnished,1,2,1,Freehold,West,38
  Pirangut,3,Flat,860,Ready to Move,Resale,Unfurnished,0,3,1,Freehold,East,54
  Atur Nagar Undri,2,Flat,794,Ready to Move,Resale,SemiFurnished,0,2,1,NA,NA,60
 Talegaon Dabhade,2,Flat,950,Ready to Move,Resale,Unfurnished,1,2,3,Cooperative Society,East,34
 Wakad,2,Flat,656,Possession by Apr 21,Resale,Unfurnished,0,2,2,Freehold,East,53
 Mandai Shukrawar Peth Shivaji Road,1,Flat,480,Ready to Move,Resale,Unfurnished,0,1,NA,NA,NA,50
 Narhe,3,House,2200,Ready to Move,Resale,Furnished,2,4,1,Freehold,East,125
 MountaRaga Uruli Devachi,2,Flat,650,Ready to Move,Resale,Furnished,0,2,1,Freehold,East,37.5
 ParEmpire Dhayari,1,Flat,578,Ready to Move,Resale,Unfurnished,0,1,1,Freehold,East,35
 DSK Vishwa Dhayari,2,Flat,NA,Ready to Move,Resale,SemiFurnished,1,2,NA,Freehold,East,61
  Mamurdi Dehu Road,3,Flat,945,Ready to Move,Resale,SemiFurnished,1,3,1,Freehold,East,75
 Sus,2,Flat,778,Ready to Move,Resale,SemiFurnished,2,2,2,Cooperative Society,East,85
  Talegaon Dabhade,3,House,1620,Ready to Move,Resale,SemiFurnished,1,3,1,Cooperative Society,East,137
  Chakan,1,Flat,NA,Ready to Move,Resale,Unfurnished,0,1,NA,NA,NA,23.5
  Dhayari Phata Road,1,Flat,407,Ready to Move,Resale,Furnished,505,1,1,Freehold,North  East,35
  Viman Nagar,3,Flat,NA,Ready to Move,Resale,SemiFurnished,0,3,1,NA,NA,135
  Sinhagad Road,3,Flat,960,Ready to Move,Resale,Unfurnished,0,3,3,Freehold,NA,86
  Lonikand,2,Flat,NA,Ready to Move,Resale,Unfurnished,1,2,2,Cooperative Society,North  East,35
  Gadital Hadapsar,3,Flat,900,Ready to Move,Resale,SemiFurnished,1,3,2,Freehold,NA,75
 Erandwane,2,Flat,807,Ready to Move,Resale,SemiFurnished,1,2,1,Freehold,West,170
  Koregaon Park,3,Flat,NA,Ready to Move,Resale,Unfurnished,1,3,1,Freehold,East,140
  Kharadi,3,Flat,1400,Ready to Move,Resale,SemiFurnished,0,3,2,Freehold,North,120
  Hadapsar,2,Flat,954,Ready to Move,New Property,Unfurnished,0,2,1,Leasehold,East,80
  Talegaon Dabhade,2,Flat,700,Ready to Move,New Property,Unfurnished,1,2,NA,Freehold,East,39.8
  Keshav Nagar Mundhwa,2,Flat,715,Ready to Move,New Property,SemiFurnished,1,2,3,Freehold,East,65
  Rahatni Pimpri Chinchwad,1,Flat,450,Ready to Move,Resale,SemiFurnished,1,1,NA,Cooperative Society,East,32
  Ravet Pimpri Chinchwad,1,Flat,415,Ready to Move,Resale,SemiFurnished,0,2,1,Cooperative Society,East,38
  Bavdhan,3,Flat,1136,Ready to Move,Resale,Unfurnished,1,3,3,Cooperative Society,North,125
   Dhayari,2,Flat,780,Ready to Move,Resale,Unfurnished,1,2,1,Freehold,North,40
  Bhugaon Bavdhan,1,Flat,442,Ready to Move,Resale,Unfurnished,1,1,1,Freehold,West,45
  EON Free Zone Kharadi,4,Flat,1661,Ready to Move,New Property,SemiFurnished,3,4,2,Freehold,East,243
  Sinhagad Road,2,Flat,920,Ready to Move,Resale,Unfurnished,0,2,2,Cooperative Society,East,58
  Amanora Park Town,2,Flat,800,Ready to Move,Resale,Unfurnished,1,2,2,Freehold,North  West,75
  Kondhwa,3,Flat,1166,Ready to Move,Resale,Furnished,1,3,2,Freehold,West,93
 Punawale Pimpri Chinchwad,2,House,664,Ready to Move,Resale,SemiFurnished,1,2,2,Freehold,East,46
  Hinjewadi,2,Flat,980,Ready to Move,Resale,Unfurnished,1,2,1,Freehold,East,60
  Manjri Manjri Budruk,2,Flat,766,Ready to Move,Resale,Unfurnished,1,2,1,Freehold,East,65
  Kondhwa,3,Flat,966,Ready to Move,Resale,SemiFurnished,2,3,1,Freehold,North,80
 Kondhwa Budruk,1,Flat,475,Ready to Move,Resale,Unfurnished,0,1,2,Freehold,East,22.8
 Chakan,1,Flat,400,Ready to Move,Resale,Unfurnished,1,1,1,Cooperative Society,East,14.5
  Vadgaon Maval,1,Flat,280,Ready to Move,Resale,Unfurnished,0,1,1,Freehold,NA,19
  Wadki,2,Flat,926,Ready to Move,Resale,Unfurnished,1,2,2,Freehold,East,29
  Ravet Pimpri Chinchwad,2,Flat,736,Ready to Move,Resale,SemiFurnished,1,2,2,Freehold,East,56
 Vadgaon Maval,1,Flat,504,Ready to Move,Resale,Unfurnished,1,1,NA,Freehold,West,35
  Wagholi,2,Flat,875,Ready to Move,New Property,Unfurnished,1,2,2,Freehold,East,32
  Thergaon Pimpri Chinchwad,2,Flat,750,Ready to Move,Resale,SemiFurnished,1,2,1,Cooperative Society,East,70
 Dhanori Lohegaon Road,0,House,NA,Ready to Move,Resale,Unfurnished,4,NA,NA,Freehold,East,249
Bhosari,2,House,NA,Ready to Move,Resale,Unfurnished,1,3,1,Freehold,East,100
  Mahalunge,2,Flat,800,Ready to Move,Resale,Unfurnished,1,2,2,Freehold,East,82
 Hingne Khurd,2,Flat,700,Ready to Move,Resale,Unfurnished,0,2,2,Cooperative Society,East,37
  Vadgaon Maval,9,Flat,NA,Ready to Move,Resale,Unfurnished,0,9,NA,NA,NA,90
 Tungarli Lonavala,4,House,1500,Ready to Move,Resale,SemiFurnished,3,3,2,Freehold,NA,180
 Keshav Nagar Mundhwa,3,House,1200,Ready to Move,Resale,SemiFurnished,8,3,2,Freehold,East,130
 Lonavala,3,House,NA,Ready to Move,Resale,Unfurnished,0,3,2,NA,NA,150
 CHANDRAMA RESIDENCY AND GAR,1,Flat,492,Ready to Move,Resale,SemiFurnished,0,1,NA,Cooperative Society,West,43
 Kondhwa,2,Flat,1000,Ready to Move,Resale,Unfurnished,0,2,1,Freehold,East,75
  Pimpri Pimpri Chinchwad,3,Flat,NA,Ready to Move,Resale,Unfurnished,0,2,1,Freehold,East,77
  Sus,2,Flat,783,Ready to Move,Resale,SemiFurnished,0,2,1,Freehold,East,65
  Wakad,2,Flat,670,Ready to Move,Resale,SemiFurnished,0,2,2,Cooperative Society,East,63.5
  NIBM Road,3,Flat,1318,Ready to Move,Resale,Unfurnished,0,3,3,Cooperative Society,East,112
  Kharadi,2,Flat,NA,NA,Resale,Unfurnished,0,2,NA,Freehold,East,66
  Mundhwa,1,Flat,515,Ready to Move,Resale,Unfurnished,1,1,1,Freehold,North  East,44
Hadapsar,2,House,990,Ready to Move,Resale,Furnished,1,2,1,Cooperative Society,East,62
 Pent  Sopan Baug,5,Flat,7200,Ready to Move,Resale,Furnished,9,5,3,Cooperative Society,North,1250
  Ambe Gaon,1,Flat,732,Ready to Move,Resale,Unfurnished,1,1,2,Freehold,East,48.7
At Post Bholavade Jilha Pune Tal Bhor,2,House,NA,Ready to Move,Resale,Unfurnished,0,2,NA,NA,NA,32
 Bonheur,2,Flat,700,Possession by Dec 23,Resale,SemiFurnished,1,2,NA,Cooperative Society,East,56.1
  Bopodi Old Mumbai PuneHighway,1,Flat,55,Ready to Move,Resale,SemiFurnished,0,1,1,Freehold,East,55
  Kranti NagarThergaon Pimpri Chinchwad,1,Flat,600,Ready to Move,Resale,SemiFurnished,1,1,1,Freehold,East,42
 Punawale Pimpri Chinchwad,1,Flat,500,Ready to Move,Resale,Unfurnished,5,1,2,Freehold,West,39
  Bijlinagar Pimpri Chinchwad,5,Flat,1500,Ready to Move,Resale,Furnished,0,3,NA,NA,NA,200
 Pimple Saudagar Pimpri Chinchwad,2,Flat,776,Ready to Move,Resale,Furnished,1,2,2,Freehold,West,79
  Hinjewadi,3,Flat,NA,Ready to Move,Resale,Furnished,2,3,NA,Freehold,East,120
 Castles,2,Flat,1015,Ready to Move,Resale,Furnished,0,2,NA,Freehold,South West,77
  EON Free Zone Kharadi,3,Flat,1507,Ready to Move,Resale,Unfurnished,2,3,2,Freehold,East,166
  NIBM Road,3,Flat,1120,Ready to Move,Resale,SemiFurnished,1,3,2,Cooperative Society,East,128
 Kalyani Nagar,3,Flat,1500,Ready to Move,Resale,Furnished,1,3,2,Cooperative Society,East,165
  Handewadi Road,1,Flat,500,Ready to Move,Resale,Unfurnished,1,1,1,Freehold,East,28.5
  Baner,3,Flat,1750,Ready to Move,Resale,Furnished,2,3,3,Freehold,East,185
  Viman Nagar,2,Flat,960,Ready to Move,Resale,Unfurnished,1,2,1,Freehold,South,79
  Sinhagad Road,1,Flat,463,Ready to Move,Resale,Unfurnished,1,1,1,Freehold,North,39
  Viman Nagar,2,Flat,1350,Ready to Move,Resale,SemiFurnished,0,2,2,Cooperative Society,North,135
  Magarpatta City,3,Flat,1750,Ready to Move,Resale,Unfurnished,2,3,2,Freehold,East,195
 Warje,2,Flat,1305,Ready to Move,Resale,SemiFurnished,0,2,3,Freehold,East,107
  Hinjewadi Phase 3,2,Flat,850,Ready to Move,Resale,Unfurnished,1,2,1,Cooperative Society,East,61
  Narhe,1,Flat,450,Ready to Move,Resale,SemiFurnished,1,1,1,Cooperative Society,West,32
 Ambegaon Budruk,1,Flat,450,Ready to Move,Resale,Unfurnished,1,1,1,Freehold,East,20
Adishakti Coop Housing Society No. 2,2,House,1345,Ready to Move,Resale,SemiFurnished,2,3,1,Cooperative Society,West,160
 Awhalwadi,5,Flat,1700,Ready to Move,Resale,Unfurnished,1,10,NA,Freehold,East,90
  Fursungi,5,House,800,Ready to Move,Resale,Unfurnished,1,4,2,Freehold,West,110
 Shivaji Nagar,1,Flat,430,Ready to Move,Resale,SemiFurnished,1,1,NA,Freehold,South,85
   Kharadi,0,House,1250,Ready to Move,Resale,SemiFurnished,3,10,10,Freehold,East,175
  Moshi,2,Flat,980,Ready to Move,Resale,SemiFurnished,0,2,2,Cooperative Society,East,63
 Wanwadi,1,Flat,525,Ready to Move,Resale,SemiFurnished,1,1,2,Cooperative Society,South,34
  Kharadi,2,Flat,678,Possession by Dec 22,New Property,Unfurnished,1,2,2,Freehold,North  East,55
 Pimpri Pimpri Chinchwad,2,Flat,950,Ready to Move,Resale,Furnished,2,2,2,Freehold,East,70
  Handewadi,2,Flat,679,Ready to Move,Resale,Furnished,1,2,3,Freehold,NA,51
 Wanawari,3,Flat,NA,Ready to Move,Resale,SemiFurnished,1,3,2,Freehold,East,135
  Wakad,2,Flat,853,Ready to Move,New Property,SemiFurnished,0,2,2,Cooperative Society,East,75
 BanerBalewadi Road,3,Flat,1147,Ready to Move,Resale,Furnished,1,3,3,Freehold,West,130
  NIBM Road,3,Flat,1250,Ready to Move,Resale,Unfurnished,0,3,2,Cooperative Society,North,130
  Chinchwad Pimpri Chinchwad,2,Flat,736,Ready to Move,Resale,SemiFurnished,1,2,1,Freehold,East,65
  Kothrud,1,Flat,500,Ready to Move,Resale,Unfurnished,0,1,NA,Freehold,North,44
  Wakad,3,Flat,1027,Ready to Move,Resale,SemiFurnished,1,2,3,Cooperative Society,East,96
  Koregaon Park,2,Flat,700,Ready to Move,Resale,SemiFurnished,1,2,1,Cooperative Society,East,53
  Bhukum,2,Flat,565,Ready to Move,Resale,SemiFurnished,251,2,1,Freehold,North  East,36
 Bavdhan,1,Flat,492,Possession by Nov 23,New Property,SemiFurnished,1,1,1,Freehold,North  East,37.5
  Chinchwad Pimpri Chinchwad,3,Flat,1380,Ready to Move,Resale,SemiFurnished,0,3,3,Freehold,East,97
  NIBM Road,2,Flat,930,Ready to Move,Resale,SemiFurnished,1,2,1,Cooperative Society,East,92
  NIBM Road,3,Flat,1198,Ready to Move,Resale,SemiFurnished,1,3,1,Cooperative Society,North,135
  Pimple Saudagar Pimpri Chinchwad,2,Flat,NA,Ready to Move,Resale,Unfurnished,1,2,2,Freehold,East,74
  Baner road,3,Flat,1325,Ready to Move,Resale,Furnished,1,3,2,Freehold,East,115
  EON Free Zone Kharadi,2,Flat,775,Ready to Move,Resale,Unfurnished,1,2,1,Freehold,North  East,75
  Kondhwa,1,Flat,390,Ready to Move,New Property,Unfurnished,1,1,1,Freehold,NA,28.6
 Dhayari,1,Flat,451,Ready to Move,Resale,SemiFurnished,0,2,1,Cooperative Society,North,25
  Magarpatta City,3,Flat,NA,Ready to Move,Resale,Furnished,1,3,1,Cooperative Society,NA,155
  Hinjewadi,2,Flat,910,Ready to Move,Resale,Unfurnished,1,2,1,Freehold,East,60
  Magarpatta City,3,Flat,NA,Ready to Move,Resale,SemiFurnished,2,3,2,Freehold,South West,215
  Koregaon Park,2,Flat,840,Ready to Move,Resale,Furnished,1,2,1,Freehold,East,115
  Wakad,2,Flat,627,Ready to Move,Resale,Furnished,1,2,2,Freehold,East,65
  Kharadi,2,Flat,1065,Ready to Move,Resale,Unfurnished,1,2,2,Cooperative Society,East,93
  NIBM Annexe,3,Flat,1200,Ready to Move,Resale,Unfurnished,1,3,1,Freehold,East,75
  Kharadi,2,Flat,840,Ready to Move,Resale,SemiFurnished,1,2,2,Freehold,East,102
  Rahatni Pimpri Chinchwad,2,Flat,900,Ready to Move,Resale,Unfurnished,1,2,2,Freehold,East,85
  Hinjewadi,2,Flat,628,Possession by Dec 21,New Property,Unfurnished,1,2,2,Freehold,East,39.5
 RiveraApartment Tadiwala Road,2,Flat,700,Ready to Move,Resale,Unfurnished,1,2,1,Cooperative Society,South,60
  Alandi Kelgaon,1,Flat,450,Ready to Move,Resale,Unfurnished,0,1,NA,Freehold,East,36
 Sinhagad Road,3,Flat,1150,Ready to Move,Resale,Furnished,1,3,2,Cooperative Society,East,100
 Marunji Hinjawadi,3,Flat,1400,Ready to Move,Resale,Unfurnished,1,3,1,Freehold,East,73
  Erandwane,6,Flat,3250,Ready to Move,New Property,Furnished,4,6,5,Freehold,East,825
  Wagholi,3,House,1800,Ready to Move,Resale,Unfurnished,1,3,1,Freehold,East,95
  Pimple Saudagar Pimpri Chinchwad,3,Flat,1200,Ready to Move,Resale,Unfurnished,1,3,2,Cooperative Society,East,100
  EON Free Zone Kharadi,2,Flat,1050,Ready to Move,Resale,SemiFurnished,1,2,2,Cooperative Society,East,110
  Keshav Nagar Mundhwa,3,Flat,1008,Possession by Dec 21,New Property,SemiFurnished,1,3,3,Freehold,East,78
  Kalubai Nagar Wagholi,2,Flat,705,Possession by Mar 21,New Property,Unfurnished,1,2,2,Freehold,East,59
 Amanora Park Town,2,Flat,760,Possession by Dec 21,New Property,SemiFurnished,1,2,3,Freehold,East,55.5
  Wakad,2,Flat,710,Possession by Jul 21,New Property,Unfurnished,0,2,1,Cooperative Society,East,55
 Bhugaon Bavdhan,1,Flat,468,Possession by Jul 21,New Property,Unfurnished,1,1,1,Freehold,East,20
  Hinjewadi Phase 3,2,Flat,698,Possession by Jul 22,New Property,Unfurnished,1,2,NA,NA,NA,45
  Baner,2,Flat,732,Possession by Dec 24,New Property,Unfurnished,1,2,NA,NA,NA,82.8
  Charholi Budruk,2,Flat,814,Possession by Dec 23,New Property,Unfurnished,0,2,NA,NA,NA,52.3
  Ravet Pimpri Chinchwad,2,Flat,NA,Possession by Apr 22,New Property,Unfurnished,0,2,NA,NA,NA,62.5
  Baner,2,Flat,754,Possession by Dec 22,New Property,Unfurnished,1,2,NA,NA,NA,73.9
  Ravet Pimpri Chinchwad,2,Flat,609,Possession by Dec 23,New Property,Unfurnished,1,2,NA,NA,NA,46.1
  Kharadi,2,Flat,840,Possession by Dec 23,New Property,Unfurnished,1,2,NA,NA,NA,72
  Ravet Pimpri Chinchwad,2,Flat,715,Possession by Dec 26,New Property,Unfurnished,1,2,NA,NA,NA,53.6
  Wakad,2,Flat,680,Possession by Dec 22,New Property,Unfurnished,1,2,NA,NA,NA,54.5
  Hinjewadi,3,Flat,850,Possession by Mar 24,New Property,Unfurnished,1,2,NA,NA,NA,69.8
  Viman Nagar,2,Flat,1000,Ready to Move,Resale,SemiFurnished,0,2,2,Cooperative Society,East,100
  Mayur Colony Kothrud,2,Flat,930,Ready to Move,Resale,SemiFurnished,1,2,1,Freehold,East,140
  Balewadi,2,Flat,720,Possession by Dec 22,New Property,Unfurnished,1,2,1,Freehold,East,80
  Phursungi,2,Flat,741,Possession by Mar 21,New Property,Unfurnished,1,2,2,Freehold,East,40
  Tathawade Dattwadi,2,Flat,658,Possession by Dec 23,New Property,Unfurnished,1,2,2,Freehold,East,48
 Charholi,2,Flat,760,Possession by Jul 22,New Property,Unfurnished,10,2,2,Freehold,North,40
  Kharadi,4,Flat,3200,Possession by Dec 21,New Property,Unfurnished,3,5,2,Freehold,East,460
  Koregaon Park,3,Flat,1950,Ready to Move,New Property,Unfurnished,0,3,3,Cooperative Society,South,220
 Kalyani Nagar,1,Flat,450,Ready to Move,Resale,Furnished,0,1,NA,Cooperative Society,East,55
  Hadapsar,3,Flat,1100,Ready to Move,Resale,Unfurnished,1,3,1,Freehold,South,115
  Chikhali,2,Flat,971,Ready to Move,New Property,Unfurnished,0,2,NA,NA,NA,43.1
  Talegaon Dabhade,1,Flat,NA,Ready to Move,New Property,Unfurnished,1,1,NA,NA,NA,22.6
  Ravet Pimpri Chinchwad,2,Flat,NA,Ready to Move,Resale,Unfurnished,1,2,2,Freehold,East,45
  Dhanori,3,Flat,1118,Possession by Dec 23,New Property,Unfurnished,0,3,3,NA,NA,70.5
  Hinjewadi,3,Flat,1383,Ready to Move,Resale,Unfurnished,0,3,3,Freehold,North  East,116
  Wagholi,2,Flat,890,Ready to Move,Resale,SemiFurnished,1,2,2,Freehold,East,52
  Dhanori,2,Flat,741,Possession by Dec 21,New Property,Unfurnished,1,2,2,Freehold,East,44
  Wagholi,3,Flat,2200,Possession by Dec 21,New Property,SemiFurnished,2,3,3,Freehold,East,206
  Hinjewadi,3,Flat,1180,Possession by Dec 22,New Property,Unfurnished,1,3,2,Freehold,East,99
  Balewadi,2,Flat,789,Possession by Dec 22,New Property,Unfurnished,0,2,2,Freehold,East,71
  Dhayari,2,Flat,725,Possession by Dec 23,New Property,Unfurnished,1,2,2,Freehold,East,46.9
  Shankar Kalat Nagar,2,Flat,790,Possession by Jun 22,New Property,Unfurnished,1,2,1,Freehold,East,79.5
  Hinjewadi Phase 1,3,Flat,973,Possession by Dec 23,New Property,Unfurnished,1,3,1,Freehold,East,90
  NIBM Road,3,Flat,1230,Possession by Dec 23,New Property,Unfurnished,2,3,2,Freehold,East,110
  Balewadi,3,Flat,890,Possession by Oct 21,New Property,Unfurnished,1,2,2,Freehold,East,86
  Undri,2,Flat,750,Possession by Aug 21,New Property,Unfurnished,0,2,2,Cooperative Society,East,38
  Balewadi,2,Flat,1499,Possession by Dec 22,New Property,Unfurnished,1,2,2,Freehold,East,75
  Punawale Pimpri Chinchwad,2,Flat,703,Possession by Mar 21,New Property,SemiFurnished,1,2,3,Freehold,East,46
  Wagholi,2,Flat,550,Possession by Jun 22,New Property,Unfurnished,1,2,2,Freehold,East,32
  Kharadi,2,Flat,NA,Possession by May 21,New Property,Unfurnished,1,2,2,Freehold,East,97
  Kalyani Nagar,3,Flat,1150,Possession by Mar 23,New Property,Unfurnished,0,4,1,Cooperative Society,East,200
  Sainath NagarVadgaonsheri Vadgaonsheri,2,Flat,623,Possession by May 21,New Property,Unfurnished,1,2,1,Freehold,East,53
  Hinjewadi Phase 3,2,Flat,698,Possession by Feb 24,New Property,Unfurnished,1,2,NA,NA,NA,46.7
  Hadapsar,1,Flat,NA,Possession by Dec 23,New Property,Unfurnished,1,1,NA,NA,NA,37.5
  Wagholi,4,Flat,2224,Ready to Move,New Property,Unfurnished,1,4,NA,NA,NA,290
  Ghorpadi,3,Flat,NA,Ready to Move,Resale,Unfurnished,2,4,1,Freehold,East,340
  Dhanori,2,Flat,702,Possession by Dec 21,New Property,Unfurnished,0,2,2,Freehold,East,54
 Balewadi Phata Baner,3,Flat,1090,Possession by Apr 21,New Property,SemiFurnished,2,3,3,Freehold,East,119
  Kharadi,3,Flat,141,Possession by Dec 21,New Property,Unfurnished,0,3,NA,NA,NA,136
  Punawale Pimpri Chinchwad,3,Flat,1160,Possession by Jun 21,New Property,Unfurnished,1,3,2,Freehold,East,90.5
  Wakad,3,Flat,1040,Possession by Dec 21,New Property,Unfurnished,1,3,2,Freehold,East,94.5
  Wakad,2,Flat,710,Possession by Dec 21,New Property,Unfurnished,1,2,1,Freehold,East,55.4
  Wakad,2,Flat,736,Possession by Dec 21,New Property,Unfurnished,1,2,1,Cooperative Society,East,75
  Dhanori,2,Flat,717,Possession by Dec 22,New Property,SemiFurnished,0,2,2,Freehold,East,50.3
  Dhanori,3,Flat,1000,Possession by Dec 21,New Property,Unfurnished,1,3,2,Freehold,East,61
  NIBM Annexe,2,Flat,824,Possession by Mar 23,New Property,Unfurnished,1,2,1,Freehold,North  West,75
 Hinjewadi,2,Flat,810,Possession by Dec 21,New Property,Unfurnished,1,2,1,Cooperative Society,East,59.5
  Baner,2,Flat,771,Possession by Jun 22,New Property,Unfurnished,1,2,NA,Freehold,East,75.4
  Hadapsar,1,Flat,460,Possession by Apr 22,New Property,SemiFurnished,1,1,1,Freehold,East,40
  Balewadi,3,Flat,1163,Possession by Jun 22,New Property,SemiFurnished,1,3,3,Freehold,East,114
  Sai Nagar Dehu Road,2,Flat,587,Possession by Mar 23,New Property,Unfurnished,1,2,3,Freehold,East,45.2
  Dhanori,2,Flat,750,Possession by Jun 23,New Property,SemiFurnished,1,2,2,Cooperative Society,East,45
  Koregaon Park,3,Flat,1165,Possession by Jun 23,New Property,Unfurnished,1,2,4,Freehold,East,185
  Hinjewadi,2,Flat,750,Possession by Dec 22,New Property,SemiFurnished,1,2,1,Freehold,East,62
  Laxmi Chowk Hinjewadi,1,Flat,485,Possession by Mar 22,New Property,Unfurnished,0,2,1,Freehold,West,37.5
  Balewadi,2,Flat,849,Possession by Mar 22,New Property,Unfurnished,1,2,2,Freehold,West,74.6
  Kharadi,3,Flat,1450,Possession by May 22,Resale,SemiFurnished,2,3,1,Freehold,East,133
  Wagholi,1,Flat,457,Possession by Dec 21,New Property,Unfurnished,1,1,1,Freehold,East,29.1
  Kaspate Vasti Pimpri Chinchwad,1,Flat,459,Possession by Dec 21,New Property,Unfurnished,90,1,1,Freehold,East,38
 Wakad,2,Flat,740,Possession by Jul 23,New Property,Unfurnished,1,2,2,Freehold,East,56.9
 Hinjewadi Phase 2,2,Flat,640,Possession by Dec 22,New Property,Unfurnished,1,2,1,Freehold,East,46
  Tathawade Dattwadi,2,Flat,789,Possession by Dec 22,New Property,Unfurnished,0,2,2,Freehold,East,53
 Dhanori,3,Flat,NA,Possession by Dec 22,New Property,Unfurnished,1,3,2,Freehold,East,77.5
  Koregaon Park,3,Flat,1919,Possession by Sep 23,New Property,Unfurnished,2,3,4,Freehold,East,281
  NIBM Annexe,3,Flat,1240,Possession by Aug 23,New Property,Unfurnished,1,3,3,Freehold,West,115
  Ambegaon Budruk,2,Flat,642,Possession by Aug 22,New Property,SemiFurnished,1,2,1,Freehold,East,55
  Balewadi,2,Flat,891,Possession by Sep 23,New Property,Unfurnished,0,2,NA,NA,NA,91
  Kharadi,1,Flat,450,Ready to Move,New Property,Unfurnished,1,1,NA,NA,NA,32.5
  Ravet Pimpri Chinchwad,2,Flat,672,Possession by Apr 21,New Property,Unfurnished,1,2,NA,NA,NA,60
  Wakad,3,Flat,782,Possession by Dec 21,New Property,Unfurnished,0,3,NA,NA,NA,76.5
 TwTower Wakad,1,Flat,520,Ready to Move,New Property,Unfurnished,1,1,NA,NA,NA,44.7
  Wakad,2,Flat,772,Ready to Move,New Property,Unfurnished,1,2,NA,NA,NA,76
  Wagholi,2,Flat,748,Ready to Move,New Property,Unfurnished,0,2,NA,NA,NA,59
  Lohegaon,3,Flat,961,Possession by Jul 21,New Property,Unfurnished,1,2,NA,NA,NA,58
  Balewadi,3,Flat,1302,Ready to Move,Resale,SemiFurnished,1,3,2,Cooperative Society,East,105
 Manjari Khurd,2,Flat,568,Possession by Mar 25,New Property,Unfurnished,1,2,1,Freehold,North,56.5
  Hinjewadi Phase 1,2,Flat,689,Possession by Dec 23,New Property,Unfurnished,1,2,2,Freehold,East,56
 Marunji Hinjawadi,2,Flat,670,Possession by Dec 22,New Property,Unfurnished,0,2,2,Freehold,East,42.5
  Hinjewadi Phase 1,1,Flat,500,Possession by Jan 22,New Property,Unfurnished,1,2,1,Freehold,East,40.7
  Baner,2,Flat,NA,Possession by Jun 22,New Property,Unfurnished,0,2,1,NA,NA,83
  Wakad,2,Flat,800,Possession by Dec 23,New Property,Unfurnished,1,2,2,Freehold,East,65.8
  Amanora Park Town,4,Flat,3920,Ready to Move,Resale,Furnished,3,4,2,Freehold,West,279
  Kharadi,3,Flat,1650,Possession by Sep 23,New Property,SemiFurnished,0,3,2,Freehold,East,135
  Wakad,2,Flat,725,Possession by Jan 21,New Property,Unfurnished,0,2,2,Freehold,East,59
  Manjri Manjri Budruk,2,Flat,691,Possession by Mar 24,New Property,Unfurnished,1,1,NA,NA,NA,56
  Wakad,2,Flat,756,NA,New Property,Unfurnished,2,2,2,Freehold,East,62
  Bavdhan,2,Flat,820,Possession by Dec 22,New Property,Unfurnished,1,2,1,Freehold,West,74.7
  Balewadi,2,Flat,730,Possession by Dec 22,New Property,Unfurnished,1,2,1,Freehold,East,69
 Dhayari,1,Flat,444,Possession by Dec 23,New Property,Unfurnished,0,1,2,Cooperative Society,East,28.5
  Tathawade Dattwadi,2,Flat,730,Possession by Dec 21,New Property,Unfurnished,1,2,2,Freehold,East,48
