location, bedroom, housetype, carpet_area, status, transatcion, furnishing, balcony, park_count,bath, ownership, facing, price_in_Lac
  Bibwewadi,1,Flat,500,Ready to Move,Resale,Unfurnished,0,1,1,Cooperative Society,East,53
 Bhusari Colony Kothrud,3,Flat,1050,Ready to Move,Resale,Unfurnished,0,3,1,Cooperative Society,East,125
  Pimple Nilakh Pimpri Chinchwad,4,Flat,2545,Ready to Move,Resale,Unfurnished,0,6,3,Freehold,East,292
  Baner road,3,Flat,NA,Ready to Move,Resale,Unfurnished,40,2,1,NA,NA,89
 Bharti Vidyapeeth Campus,1,Flat,638,Ready to Move,Resale,SemiFurnished,0,1,1,Freehold,East,35
 Wakad,3,Flat,1080,Ready to Move,Resale,Unfurnished,0,3,2,NA,NA,86
  Kharadi,3,Flat,1016,Ready to Move,Resale,SemiFurnished,0,2,2,Leasehold,North  East,118
  Kondhwa,2,Flat,820,Ready to Move,Resale,SemiFurnished,1,2,1,Freehold,East,54
 Katraj,2,Flat,750,Ready to Move,Resale,SemiFurnished,1,2,2,Cooperative Society,East,54
  MG Road,1,Flat,608,Ready to Move,Resale,Unfurnished,0,1,2,Leasehold,North,65
 Hinjewadi Phase 3,2,Flat,761,Ready to Move,New Property,Unfurnished,0,2,2,Freehold,East,57
  Vishal Nagar Pimpri Chinchwad,3,Flat,1069,Ready to Move,Resale,Unfurnished,3,3,1,Freehold,East,85
 Bhusari Colony Kothrud,3,Flat,1650,Ready to Move,Resale,Unfurnished,0,3,NA,Freehold,North,180
  Ravet Pimpri Chinchwad,2,Flat,NA,Ready to Move,Resale,Unfurnished,802,2,NA,Power Of Attorney,East,70
 Nande,1,Flat,480,Ready to Move,Resale,SemiFurnished,1,1,1,Freehold,East,30
 Lulla Nagar,2,Flat,1000,Ready to Move,Resale,Furnished,1,2,2,Cooperative Society,East,95
  Hadapsar,2,Flat,550,Ready to Move,Resale,SemiFurnished,1,1,1,Cooperative Society,East,30
 Magarpatta Road,2,Flat,NA,Ready to Move,Resale,Furnished,0,2,2,Cooperative Society,East,65
  Undri,3,Flat,1200,Ready to Move,Resale,SemiFurnished,1,3,1,Freehold,North,95
  Hinjewadi,3,Flat,572,Ready to Move,Resale,Unfurnished,0,2,2,Cooperative Society,East,31
  Nigdi Pimpri Chinchwad,2,Flat,NA,Ready to Move,Resale,SemiFurnished,0,2,1,Freehold,East,74
 Navi Peth Sadashiv Peth,2,Flat,777,Ready to Move,Resale,SemiFurnished,0,1,NA,Freehold,East,85
 Pimple Saudagar Pimpri Chinchwad,3,Flat,1195,Ready to Move,Resale,Unfurnished,0,3,2,Cooperative Society,East,118
  Somatne Phata,2,Flat,733,Ready to Move,New Property,Unfurnished,1,2,2,Freehold,East,34.5
  Sinhagad Road,1,Flat,480,Ready to Move,Resale,Furnished,1,2,1,Freehold,North,40
  Undri,2,Flat,NA,Ready to Move,Resale,Unfurnished,0,2,1,NA,NA,42
  Akurdi Pimpri Chinchwad,1,Flat,480,Ready to Move,Resale,Unfurnished,0,1,1,NA,East,40
  Talegaon Dabhade,2,Flat,NA,Ready to Move,Resale,SemiFurnished,0,2,NA,NA,NA,35.1
 Panchawati Pashan,3,Flat,NA,Ready to Move,Resale,Furnished,1,3,NA,Freehold,East,180
  Baner,2,Flat,NA,Ready to Move,Resale,SemiFurnished,1,2,2,Cooperative Society,West,95.4
  Wagholi,2,Flat,670,Ready to Move,Resale,Unfurnished,1,2,1,Cooperative Society,North  East,39
  Hadapsar,2,Flat,1150,Ready to Move,Resale,Unfurnished,0,2,1,Leasehold,NA,99
 Panchawati Pashan,1,Flat,NA,Ready to Move,Resale,Furnished,0,1,1,Cooperative Society,East,51
  Chandani Chowk Bavdhan,2,Flat,713,Ready to Move,Resale,SemiFurnished,1,2,1,Freehold,East,64
  Mundhwa,2,Flat,950,Possession by Dec 23,New Property,Unfurnished,1,2,1,Freehold,East,141
